,Focal Area,TDY,Approved,Year
0,Focal Area: Direct Field Support - Mission Support Through TA & Buy-Ins,Total Travel,49110.0,2020
1,Focal Area: Cross-Mission Learning Groups (XMLGs),Total ODC,500.0,2020
2,Focal Area: Cross-Mission Learning Groups (XMLGs),Total Travel,29000.0,2020
3,Focal Area: Evidence Use and Generation,Total ODC,2120.0,2020
4,Focal Area: Evidence Use and Generation,Total Travel,7920.0,2020
5,Focal Area: Business Processes (WG2) and Integration (WG3),Total ODC,60000.0,2020
6,Focal Area: Project-Wide Management,Total ODC,30000.0,2020
7,BI-LAC,Total Travel,31332.0,2020
8,BI-MAD,Total ODC,9730.0,2020
9,BI-MAD,Total Travel,13513.0,2020
10,BI-MAD,Buy-in Home Office Support (10%),41854.347,2020
11,BI-COL,Total ODC,21600.0,2020
12,BI-COL,Total Travel,26000.0,2020
13,BI-COL,Buy-in Home Office Support (10%),28513.87630660624,2020
14,BI-SAR,Total ODC,12730.0,2020
15,BI-SAR,Total Travel,62386.0,2020
16,BI-SAR,Buy-in Home Office Support (10%),64231.814097324095,2020
17,BI-PERU,Total ODC,1750.0,2020
18,BI-PERU,Total Travel,20772.0,2020
19,BI-PERU,Buy-in Home Office Support (10%),53216.91519141066,2020
20,BI-MEX,Buy-in Home Office Support (10%),2074.378,2020
21,BI-NEPAL,Total ODC,300.0,2020
22,BI-NEPAL,Total Travel,10548.0,2020
23,BI-NEPAL,Buy-in Home Office Support (10%),9147.128,2020
24,BI-CDP,Total ODC,250.0,2020
25,BI-CDP,Total Travel,13750.0,2020
26,BI-CDP,Buy-in Home Office Support (10%),14639.512,2020
